Marker Chr Pos p
S2_64198 2 64198 0.027382076741106
S2_64339 2 64339 0.798606851622825
S2_64358 2 64358 0.215369642085545
S2_64382 2 64382 0.98822982674674
S2_113584 2 113584 0.185656069137927
S2_113702 2 113702 0.369481383572678
S2_113704 2 113704 0.484912607696421
S2_113743 2 113743 0.121641238979228
S2_113757 2 113757 0.127214232692808
S2_115226 2 115226 0.0133990809848533
S2_115245 2 115245 0.0531100207661814
S2_115362 2 115362 9.8919290824474e-05
S2_118224 2 118224 0.166450353666845
S2_118291 2 118291 0.0616192817958371
S2_120197 2 120197 0.00338202665914202
S2_120253 2 120253 0.333888139805583
S2_120286 2 120286 0.502510825067333
S2_122004 2 122004 0.662403307053604
S2_124227 2 124227 0.280545199316624
S2_124494 2 124494 0.23720332344964
S2_124497 2 124497 0.23720332344964
S2_124514 2 124514 0.320524201198441
S2_124592 2 124592 0.266842658175141
S2_125224 2 125224 0.943987551936675
S2_125268 2 125268 0.00464968816820722
S2_125610 2 125610 0.424251080111058
S2_125719 2 125719 0.0239188458650506
S2_125748 2 125748 0.00393529744378767
S2_125749 2 125749 0.00499092513908437
S2_126519 2 126519 0.0337203158671436
S2_129601 2 129601 0.0114560416893017
S2_129858 2 129858 0.491356838805007
S2_129908 2 129908 0.597780768952701
S2_129914 2 129914 0.930241009621366
S2_129924 2 129924 0.253193091775326
S2_129932 2 129932 0.537290352494431
S2_130065 2 130065 0.783756184381592
S2_130824 2 130824 0.80958251516381
S2_131024 2 131024 0.595598352472751
S2_136129 2 136129 0.0618815167439976
S2_136143 2 136143 0.482793992452755
S2_137693 2 137693 0.927478316549172
S2_137798 2 137798 0.0418905860111027
S2_137807 2 137807 0.400677179862244
S2_138242 2 138242 0.00316488325715174
S2_138356 2 138356 0.00373191154773235
S2_147586 2 147586 0.388821559392145
S2_147657 2 147657 0.240648899514701
S2_148023 2 148023 0.000332141677024692
S2_148046 2 148046 0.389095992734671
S2_148049 2 148049 0.823359423948853
S2_148110 2 148110 0.234417887969255
S2_148111 2 148111 0.447848272928586
S2_148211 2 148211 0.00808280261776955
